Time, Potential, Current
0.0, 0.005, 0.0009
0.1, 0.002, 0.0000
0.2, -0.001, 0.0000
0.3, -0.001, 0.0000
0.4, 0.002, 0.0000
0.5, -0.001, 0.0000
0.6, -0.001, 0.0000
0.7, 0.002, 0.0000
0.8, -0.001, -0.0003
0.9, -0.004, 0.0000
1.0, 0.002, 0.0000
1.1, -0.001, 0.0000
1.2, 0.002, -0.0003
1.3, -0.001, -0.0003
1.4, -0.004, -0.0003
1.5, 0.002, -0.0003
1.6, 0.002, -0.0003
1.7, -0.001, -0.0003
1.8, 0.002, -0.0003
1.9, 0.002, 0.0000
2.0, -0.001, -0.0010
2.1, 0.002, -0.0010
2.2, -0.001, -0.0013
2.3, -0.004, -0.0028
2.4, -0.001, 0.0000
2.5, -0.004, -0.0025
2.6, -0.004, -0.0013
2.7, -0.008, -0.0156
2.8, 0.002, 0.0000
2.9, -0.004, -0.0184
3.0, -0.008, -0.0253
3.1, -0.004, -0.0219
3.2, -0.001, -0.0125
3.3, 0.002, -0.0003
3.4, -0.001, -0.0041
3.5, -0.017, -0.0540
3.6, -0.017, -0.0374
3.7, -0.014, -0.0337
3.8, -0.014, -0.0328
3.9, -0.020, -0.0465
4.0, -0.014, -0.0306
4.1, -0.008, -0.0293
4.2, -0.008, -0.0324
4.3, -0.023, -0.0605
4.4, -0.014, -0.0427
4.5, -0.017, -0.0490
4.6, -0.014, -0.0406
4.7, -0.017, -0.0440
4.8, -0.023, -0.0555
4.9, -0.020, -0.0455
5.0, -0.017, -0.0568
5.1, -0.017, -0.0490
5.2, -0.017, -0.0508
5.3, -0.014, -0.0402
5.4, -0.014, -0.0381
5.5, -0.017, -0.0518
5.6, -0.017, -0.0412
5.7, -0.026, -0.0586
5.8, -0.017, -0.0552
5.9, -0.011, -0.0343
6.0, -0.017, -0.0446
6.1, -0.008, -0.0290
6.2, -0.011, -0.0352
6.3, -0.008, -0.0268
6.4, -0.014, -0.0359
6.5, -0.017, -0.0487
6.6, -0.017, -0.0440
6.7, -0.023, -0.0499
6.8, -0.017, -0.0449
6.9, -0.014, -0.0437
7.0, -0.008, -0.0219
7.1, -0.008, -0.0309
7.2, -0.014, -0.0424
7.3, -0.011, -0.0309
7.4, -0.017, -0.0484
7.5, -0.014, -0.0352
7.6, -0.023, -0.0449
7.7, -0.008, -0.0328
7.8, -0.020, -0.0552
7.9, -0.014, -0.0440
8.0, -0.017, -0.0487
8.1, -0.014, -0.0412
8.2, -0.017, -0.0499
8.3, -0.023, -0.0440
8.4, -0.014, -0.0406
8.5, -0.008, -0.0244
8.6, -0.017, -0.0493
8.7, -0.017, -0.0452
8.8, -0.014, -0.0399
8.9, -0.017, -0.0465
9.0, -0.017, -0.0393
9.1, -0.026, -0.0589
9.2, -0.017, -0.0455
9.3, -0.023, -0.0655
9.4, -0.014, -0.0455
9.5, -0.020, -0.0512
9.6, -0.017, -0.0530
9.7, -0.017, -0.0312
9.8, -0.014, -0.0421
9.9, -0.008, -0.0256
10.0, -0.017, -0.0465
10.1, -0.017, -0.0530
10.2, -0.014, -0.0409
10.3, -0.023, -0.0580
10.4, -0.023, -0.0574
10.5, -0.020, -0.0502
10.6, -0.023, -0.0602
10.7, -0.017, -0.0555
10.8, -0.017, -0.0527
10.9, -0.020, -0.0524
11.0, -0.017, -0.0402
11.1, -0.017, -0.0402
11.2, -0.014, -0.0268
11.3, -0.017, -0.0465
11.4, -0.017, -0.0540
11.5, -0.014, -0.0474
11.6, -0.017, -0.0518
11.7, -0.023, -0.0611
11.8, -0.014, -0.0368
11.9, -0.029, -0.0621
12.0, -0.014, -0.0459
12.1, -0.017, -0.0530
12.2, -0.017, -0.0490
12.3, -0.014, -0.0427
12.4, -0.017, -0.0487
12.5, -0.014, -0.0374
12.6, -0.020, -0.0440
12.7, -0.023, -0.0617
12.8, -0.014, -0.0434
12.9, -0.017, -0.0552
13.0, -0.008, -0.0377
13.1, -0.014, -0.0374
13.2, -0.014, -0.0352
13.3, -0.020, -0.0430
13.4, -0.023, -0.0530
13.5, -0.017, -0.0480
13.6, -0.020, -0.0549
13.7, -0.017, -0.0549
13.8, -0.020, -0.0484
13.9, -0.014, -0.0440
14.0, -0.026, -0.0580
14.1, -0.020, -0.0527
14.2, -0.017, -0.0480
14.3, -0.017, -0.0546
14.4, -0.014, -0.0440
14.5, -0.020, -0.0540
14.6, -0.023, -0.0574
14.7, -0.023, -0.0484
14.8, -0.014, -0.0406
14.9, -0.020, -0.0586
15.0, -0.011, -0.0334
15.1, -0.017, -0.0409
15.2, -0.023, -0.0596
15.3, -0.023, -0.0549
15.4, -0.017, -0.0499
15.5, -0.020, -0.0592
15.6, -0.017, -0.0527
15.7, -0.020, -0.0533
15.8, -0.023, -0.0546
15.9, -0.020, -0.0571
16.0, -0.008, -0.0318
16.1, -0.017, -0.0515
16.2, -0.017, -0.0443
16.3, -0.017, -0.0418
16.4, -0.020, -0.0583
16.5, -0.017, -0.0515
16.6, -0.014, -0.0455
16.7, -0.017, -0.0449
16.8, -0.008, -0.0275
16.9, -0.020, -0.0468
17.0, -0.020, -0.0524
17.1, -0.011, -0.0352
17.2, -0.020, -0.0605
17.3, -0.020, -0.0577
17.4, -0.017, -0.0396
17.5, -0.004, -0.0178
17.6, -0.001, -0.0003
17.7, -0.001, 0.0000
17.8, -0.004, 0.0000
17.9, -0.001, 0.0000
18.0, -0.001, -0.0003
18.1, -0.004, 0.0000
18.2, -0.001, 0.0000
18.3, -0.001, 0.0000
